4
4.34141
hfoew
;Na;Si;Ca
√—Œ 5432;0.564;14.81;61.89
1;0.112;18.11;60.1
5-I;0.068;17.55;64.96
7;0.09;11.31;58.45
√—Œ 5432;0.571;14.18;62.25
1;0.109;18.21;58.9
5-I;0.07;17.79;66.9
7;0.091;11.22;58.4
√—Œ 5432;5536.28;14.18;60.79
1;0.11;18.16;61.64
5-I;0.07;17.59;64.88
7;0.092;11.16;59.32
√—Œ 5432;0.566;14.4;62.81
1;0.108;17.47;58.67
5-I;0.068;17.28;66.8
7;0.088;11.04;56.26
√—Œ 5432;0.554;14.35;61.26
1;0.111;18.09;58.74
5-I;0.072;18.73;6.928
7;0.09;11.12;57.08

;Na;Si;Ca
√—Œ 5432;0.557;14.41;61.56
√—Œ 5432;5.57;14.2;62.55
√—Œ 5432;0.577;14.65;64.34
√—Œ 5432;0.579;14.51;63.19
√—Œ 5432;0.561;14.3;61.47
1;0.11;18.38;61.2
1;0.119;19.4;64.49
1;0.114;;63.84
1;0.111;18.09;60.17
5-I;0.069;17.75;66.46
5-I;0.071;18.37;69.66
5-I;0.072;18.18;67.25
5-I;0.07;17.63;
5-I;0.071;18.24;68.29
7;0.089;10.99;58.14
7;0.09;10.96;57.29
7;0.092;11.27;61.08
7;0.093;11.34;60.11
7;0.092;11.49;59.98

;Si;Ca;Na
√—Œ 5432;14.12;63.16;0.56
1;17.91;61.42;0.49
5-I;17.22;67.49;0.068
7;11.07;60.75;0.09
√—Œ 5432;13.87;61.58;0.537
1;17.82;62.92;0.11
5-I;17.62;70.4;0.071
7;11.26;62.39;0.093
√—Œ 5432;139.4;61.98;0.539
1;18.08;62.19;0.11
5-I;17.22;68.63;0.07
7;11.13;60.56;0.091
√—Œ 5432;13.71;63.46;0.557
1;17.34;60.9;0.105
5-I;17.32;70.4;0.071
7;11.1;59.76;0.001
√—Œ 5432;14.1;64.66;0.548
1;17.68;50.5;0.106
5-I;17.47;68.7;0.071
7;11.08;61.93;0.091

;Si;Na;Ca;(BrO3)-;H2O;Pb
5-I;17.61;0.068;67.9;11.324;1.23;134.4
1;21.8;0.112;62.41;12.51;0.12;0
√—Œ 5432;13.52;0.518;60.24;1.464;0.09;3.7
5-I;17.7;0.07;67.59;10.861;1.19;115.1
√—Œ 5432;14.1;0.545;63.19;1.395;0.09;5.2
7;11.27;0.089;59.69;4.972;0.49;3.2
7;10.89;0.088;58.49;50;0.49;2.4
5-I;18.04;0.07;69.38;10.856;1.2;144.7
5-I;17.45;0.067;67.57;11.373;1.23;122.8
√—Œ 5432;14.8;0.2;63.58;1.441;0.09;4.1
1;22.38;0.116;65.05;12.564;0.12;15.8
1;21.21;0.108;63.64;11.894;0.12;16
1;20.88;0.11;61.72;12.376;0.12;18.1
5-I;17.96;0.069;68.15;11.26;1.2;100.4
7;11.36;0.089;60.61;5.152;0.49;2.3
√—Œ 5432;14.05;0.532;60.49;1.368;0.09;4
1;21.1;0.108;59.95;11.961;0.11;11.8
7;11.27;0.088;58.21;5.057;0.49;3.7

;Na;Si;(BrO3)-;H2O;Pb
1;0.108;17.22;11.916;0.12;10.06
5-I;0.07;17.68;11.072;1.25;20.59
7;0.091;11.05;4.903;0.49;2.05
1;0.114;18.74;11.852;0.12;10.44
5-I;0.069;17.3;11.159;1.22;
7;0.089;10.82;4.644;0.49;1.52
1;0.109;17.84;;0.12;10.4
5-I;0.069;17.72;10.829;1.17;17.17
7;0.09;10.88;4.843;0.48;1.53
1;0.112;18.6;12.07;0.12;6.8
5-I;0.07;17.18;10.795;1.21;31.28
1;0.111;18.19;11.267;0.12;
5-I;0.071;17.7;10.79;1.24;25.21
7;0.091;11.06;4.787;0.48;1.2

;Na;H2O;(BrO3)-;Pb;Si
1;0,106;0,12;12,421;18,23;17,72
1;0,11;0,12;11,989;18,72;18,58
1;0,106;0,12;12,002;21,67;18,06
1;0,108;0,12;11,995;18,33;18,05
1;0,109;0,11;11,734;21,76;18,66
5-I;0,067;1,18;10,854;121,86;17,77
5-I;0,069;1,17;10,844;142,35;17,68
7;0,088;0,5;5,053;4,41;10,91
5-I;0,069;1,24;11,476;113,77;18,21
7;0,091;0,49;4,87;2,84;11,15
5-I;0,069;1,23;11,237;155,35;17,83
7;0,091;0,49;5,096;3,41;11,53
5-I;0,071;1,2;11,286;157,25;18,46
7;0,09;0,49;4,999;2,22;11,32

;(BrO3)-;H2O;Pb
1;11,845;0,12;15,3
5-I;1,1281;1,2;122,6
7;5,017;0,49;0
1;12,088;0,12;13,8
5-I;10,903;1,18;154,4
7;4,993;5;2,7
1;12,012;0,12;15,7
5-I;10,758;1,19;137.3
1;11,868;1;15,2
5-I;11,356;1,24;139,7
7;4,896;0,49;12
1;12,235;0,12;24,8
5-I;10,977;1,18;148,7
7;5,011;0,48;3,6

